h,irf_lipc_to_tasaso
0,0.0
1,-0.0020197615961135493
2,-0.0028900357027302386
3,-0.0032376095460194126
4,-0.0034043686767998723
5,-0.003493788987487812
6,-0.003543383172776371
7,-0.0035640288941058682
8,-0.0035611937893105985
9,-0.003539561379597922
10,-0.0035040508993456634
11,-0.003459308931396294
12,-0.003409225191966353
13,-0.0033566967289707294
14,-0.003303647106707198
15,-0.0032511905534226664
16,-0.00319984726594195
17,-0.0031497478320107377
18,-0.0031007975292281437
19,-0.0030527933522255138
20,-0.0030054988545088297
21,-0.002958686694719133
22,-0.002912159166065248
23,-0.0028657552539117595
24,-0.002819350403627469
25,-0.0027728529873202925
26,-0.0027261997594056906
27,-0.0026793514345270155
28,-0.002632288822193004
29,-0.002585009584124824
30,-0.0025375255231296044
31,-0.002489860273455188
32,-0.0024420472791322288
33,-0.0023941279812870722
34,-0.002346150168675901
35,-0.00229816647024464
36,-0.002250232983273863
37,-0.002202408037433018
38,-0.0021547510964669177
39,-0.002107321797661231
40,-0.0020601791264512038
41,-0.0020133807206610564
42,-0.001966982296471374
43,-0.0019210371865238498
44,-0.0018755959795868664
45,-0.0018307062508159202
46,-0.0017864123717102323
47,-0.0017427553892563979
48,-0.0016997729643497823
49,-0.001657499360309084
50,-0.0016159654730882166
